district,x,y
Panchagarh,-244,365
Thakurgaon,-267,322
Dinajpur,-224,286
Nilfamari,-195,322
Lalmonirhat,-155,320
Rangpur,-151,273
Gaibandha,-120,223
Kurigram,-100,292
Jaipurhat,-175,201
Noagaon,-218,175
Nawabganj,-283,145
Rajshahi,-229,112
Nator,-171,99
Bogra,-131,163
Sirajganj,-118,100
Pabna,-134,61
Sherpur,-43,196
Jamalpur,-74,168
Mymensingh,-7,138
Netrokona,56,167
Sunamganj,123,175
Sylhet,202,173
Maulvibazar,177,110
Habiganj,124,95
Tangail,-55,97
Gazipur,6,65
Narsingdi,47,48
Kishoreganj,60,97
Dhaka,-11,16
Manikganj,-58,25
Munshiganj,-5,-17
Narayanganj,20,17
Rajbari,-111,12
Faridpur,-76,-25
Gopalganj,-69,-78
Madaripur,-41,-62
Shariatpur,-12,-61
Brahmanbaria,86,41
Comilla,78,-28
Chandpur,43,-49
Lakshmipur,48,-103
Noakhali,88,-97
Feni,126,-92
Chittagong,186,-169
Khagrachari,189,-71
Rangamati,225,-133
Bandarban,245,-255
Cox'S Bazar,184,-269
Pirojpur,-51,-130
Barisal,-5,-109
Jhalokathi,-25,-139
Patuakhali,-2,-174
Bhola,43,-169
Borguna,-36,-213
Kushtia,-179,37
Meherpur,-220,20
Chuadanga,-210,-8
Jhinaidaha,-161,-16
Magura,-125,-29
Narail,-105,-71
Jessore,-158,-73
Shatkhira,-173,-153
Khulna,-130,-161
Bagerhat,-90,-158